2025-12-16 08:05:47.602 | ERROR    | __main__:processar_oferta:119 - ❌ Erro ao postar no Twitter: ('Connection aborted.', ConnectionResetError(10054, 'Foi forçado o cancelamento de uma conexão existente pelo host remoto', None, 10054, None))
2025-12-16 08:09:23.663 | ERROR    | src.core.link_router:processar:65 - Erro ao processar link Amazon: 'Settings' object has no attribute 'MINHA_TAG_AMAZON'
2025-12-16 08:09:23.663 | INFO     | __main__:processar_oferta:86 - 🔎 Processando: AMAZON | Modo: 🤖 AUTO
2025-12-16 08:09:25.406 | INFO     | __main__:processar_oferta:83 - 🚫 Link não Amazon (None) ignorado: https://m.dafiti.com.br/Tenis-Puma--180-Bege-14504863.html
2025-12-16 08:09:29.838 | SUCCESS  | src.infrastructure.whatsapp_client:enviar_oferta:30 - ✅ Postado no WhatsApp com sucesso!
2025-12-16 08:09:29.838 | SUCCESS  | __main__:processar_oferta:102 - 📱 Oferta AMAZON enviada para seu WhatsApp: https://www.amazon.com.br/Vitafor-Creati...
2025-12-16 08:09:30.430 | SUCCESS  | __main__:processar_oferta:117 - 🐦 Postado no X (5/15)
2025-12-16 08:10:23.659 | INFO     | __main__:processar_oferta:73 - ♻️ Oferta repetida ignorada: https://www.mercadolivre.com.br/social/promozonevip
2025-12-16 08:13:23.468 | ERROR    | src.core.link_router:processar:65 - Erro ao processar link Amazon: 'Settings' object has no attribute 'MINHA_TAG_AMAZON'
2025-12-16 08:13:23.468 | INFO     | __main__:processar_oferta:86 - 🔎 Processando: AMAZON | Modo: 🤖 AUTO
2025-12-16 08:13:28.981 | SUCCESS  | src.infrastructure.whatsapp_client:enviar_oferta:30 - ✅ Postado no WhatsApp com sucesso!
2025-12-16 08:13:28.982 | SUCCESS  | __main__:processar_oferta:102 - 📱 Oferta AMAZON enviada para seu WhatsApp: https://www.amazon.com.br/Soft99-10308-G...
2025-12-16 08:13:28.997 | ERROR    | __main__:processar_oferta:119 - ❌ Erro ao postar no Twitter: ('Connection aborted.', ConnectionResetError(10054, 'Foi forçado o cancelamento de uma conexão existente pelo host remoto', None, 10054, None))
2025-12-16 08:14:38.736 | INFO     | __main__:<module>:147 - 🚫 Bot desligado manualmente.
2025-12-16 08:14:42.746 | INFO     | __main__:<module>:20 - 🐭 INICIANDO O RATO GARIMPEIRO ENTERPRISE (Modo AMAZON/WHATSAPP)...
2025-12-16 08:14:43.068 | SUCCESS  | __main__:<module>:26 - ✅ Sistemas Core iniciados!
2025-12-16 08:14:43.069 | SUCCESS  | __main__:<module>:38 - 🐦 Twitter/X Conectado com sucesso!
2025-12-16 08:14:44.063 | INFO     | __main__:main:127 - 👀 Validando canais fonte (Este passo pode demorar alguns segundos)...
2025-12-16 08:14:44.923 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @tecdicas -> IGNORADO.
2025-12-16 08:14:45.067 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @ofertasdevideo -> IGNORADO.
